"ID","Organism.Name","Strain","BioSample","BioProject","Assembly","GenBank.FTP"
11,"Bacillus anthracis str. 'Ames Ancestor'","Ames Ancestor; A2084","SAMN02603433 ","PRJNA10784","GCA_000008445.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/445/GCA_000008445.1_ASM844v1"
12,"[Bacillus thuringiensis] serovar konkukian str. 97-27","97-27","SAMN02598265 ","PRJNA10877","GCA_000008505.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/505/GCA_000008505.1_ASM850v1"
13,"Bacillus subtilis subsp. subtilis str. 168","168","SAMEA3138188 ","PRJNA76","GCA_000009045.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/045/GCA_000009045.1_ASM904v1"
14,"Bacillus clausii KSM-K16","KSM-K16","SAMD00061074 ","PRJNA13291","GCA_000009825.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/825/GCA_000009825.1_ASM982v1"
15,"Bacillus halodurans C-125","C-125","SAMD00061093 ","PRJNA235","GCA_000011145.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/145/GCA_000011145.1_ASM1114v1"
16,"Bacillus cereus E33L","E33L","SAMN02598269 ","PRJNA12468","GCA_000011625.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/625/GCA_000011625.1_ASM1162v1"
17,"Bacillus licheniformis DSM 13 = ATCC 14580","ATCC 14580; DSM 13","SAMN02603685 ","PRJNA12388","GCA_000011645.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/645/GCA_000011645.1_ASM1164v1"
18,"Bacillus cereus Q1","Q1","SAMN02603603 ","PRJNA16220","GCA_000013065.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/065/GCA_000013065.1_ASM1306v1"
19,"Bacillus thuringiensis str. Al Hakam","Al Hakam","SAMN02598406 ","PRJNA18255","GCA_000015065.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/065/GCA_000015065.1_ASM1506v1"
20,"Bacillus velezensis FZB42","FZB42","SAMN02603158 ","PRJNA13403","GCA_000015785.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/785/GCA_000015785.1_ASM1578v1"
21,"Bacillus cytotoxicus NVH 391-98","NVH 391-98","SAMN02598310 ","PRJNA13624","GCA_000017425.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/425/GCA_000017425.1_ASM1742v1"
22,"Bacillus pumilus SAFR-032","SAFR-032","SAMN00253833 ","PRJNA20391","GCA_000017885.4 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/885/GCA_000017885.4_ASM1788v4"
23,"Bacillus weihenstephanensis KBAB4","KBAB4","SAMN00623031 ","PRJNA13623","GCA_000018825.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/825/GCA_000018825.1_ASM1882v1"
24,"Bacillus cereus B4264","B4264","SAMN02604059 ","PRJNA17731","GCA_000021205.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/205/GCA_000021205.1_ASM2120v1"
25,"Bacillus cereus AH187","AH187","SAMN02604058 ","PRJNA17715","GCA_000021225.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/225/GCA_000021225.1_ASM2122v1"
26,"Bacillus cereus G9842","G9842","SAMN02604060 ","PRJNA17733","GCA_000021305.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/305/GCA_000021305.1_ASM2130v1"
27,"Bacillus anthracis str. CDC 684","CDC 684","SAMN02603931 ","PRJNA31329","GCA_000021445.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/445/GCA_000021445.1_ASM2144v1"
28,"Bacillus cereus AH820","AH820","SAMN02604057 ","PRJNA17711","GCA_000021785.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/785/GCA_000021785.1_ASM2178v1"
29,"Bacillus cereus 03BB102","03BB102","SAMN02603930 ","PRJNA31307","GCA_000022505.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/505/GCA_000022505.1_ASM2250v1"
30,"Bacillus anthracis str. A0248","A0248","SAMN02603932 ","PRJNA33543","GCA_000022865.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/865/GCA_000022865.1_ASM2286v1"
31,"Bacillus megaterium DSM 319","DSM 319","SAMN02603894 ","PRJNA42425","GCA_000025805.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/805/GCA_000025805.1_ASM2580v1"
32,"Bacillus megaterium QM B1551","QM B1551","SAMN02603354 ","PRJNA30165","GCA_000025825.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/825/GCA_000025825.1_ASM2582v1"
33,"Bacillus thuringiensis BMB171","BMB171","SAMN02603314 ","PRJNA43631","GCA_000092165.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/165/GCA_000092165.1_ASM9216v1"
34,"Bacillus cereus biovar anthracis str. CI","CI","SAMN02603256 ","PRJNA36309","GCA_000143605.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/143/605/GCA_000143605.1_ASM14360v1"
35,"Bacillus subtilis subsp. spizizenii str. W23","W23","SAMN02602993 ","PRJNA38713","GCA_000146565.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/565/GCA_000146565.1_ASM14656v1"
36,"Bacillus sp. NRRL B-14911","NRRL B-14911","SAMN00622969 ","PRJNA13545","GCA_000153365.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/153/365/GCA_000153365.1_ASM15336v1"
37,"Bacillus subtilis subsp. subtilis str. 168","168","SAMN02469327 ","PRJNA29889","GCA_000155325.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/155/325/GCA_000155325.1_ASM15532v1"
38,"Bacillus subtilis subsp. subtilis str. JH642","JH642","SAMN02469326 ","PRJNA29817","GCA_000155355.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/155/355/GCA_000155355.1_ASM15535v1"
39,"Bacillus subtilis subsp. subtilis str. SMY","SMY","SAMN02469322 ","PRJNA29851","GCA_000155375.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/155/375/GCA_000155375.1_ASM15537v1"
40,"Bacillus cereus ATCC 10876","ATCC 10876","SAMN00715886 ","PRJNA29671","GCA_000160895.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/160/895/GCA_000160895.1_ASM16089v1"
41,"Bacillus cereus BGSC 6E1","BGSC 6E1","SAMN00727655 ","PRJNA29651","GCA_000160915.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/160/915/GCA_000160915.1_ASM16091v1"
42,"Bacillus cereus 172560W","172560W","SAMN00727633 ","PRJNA29645","GCA_000160935.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/160/935/GCA_000160935.1_ASM16093v1"
43,"Bacillus cereus MM3","MM3","SAMN00727654 ","PRJNA29653","GCA_000160955.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/160/955/GCA_000160955.1_ASM16095v1"
44,"Bacillus cereus AH621","AH621","SAMN00716180 ","PRJNA29655","GCA_000160975.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/160/975/GCA_000160975.1_ASM16097v1"
45,"Bacillus cereus R309803","R309803","SAMN00726683 ","PRJNA29647","GCA_000160995.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/160/995/GCA_000160995.1_ASM16099v1"
46,"Bacillus cereus ATCC 4342","ATCC 4342","SAMN00717283 ","PRJNA29665","GCA_000161015.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/015/GCA_000161015.1_ASM16101v1"
47,"Bacillus cereus m1550","m1550","SAMN00717296 ","PRJNA29649","GCA_000161035.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/035/GCA_000161035.1_ASM16103v1"
48,"Bacillus cereus BDRD-ST24","BDRD-ST24","SAMN00727632 ","PRJNA29659","GCA_000161055.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/055/GCA_000161055.1_ASM16105v1"
49,"Bacillus cereus BDRD-ST26","BDRD-ST26","SAMN00727653 ","PRJNA29661","GCA_000161075.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/075/GCA_000161075.1_ASM16107v1"
50,"Bacillus cereus BDRD-ST196","BDRD-ST196","SAMN00727652 ","PRJNA29663","GCA_000161095.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/095/GCA_000161095.1_ASM16109v1"
51,"Bacillus cereus BDRD-Cer4","BDRD-Cer4","SAMN00727651 ","PRJNA29667","GCA_000161115.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/115/GCA_000161115.1_ASM16111v1"
52,"Bacillus cereus 95/8201","95/8201","SAMN00110498 ","PRJNA29669","GCA_000161135.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/135/GCA_000161135.1_ASM16113v1"
53,"Bacillus cereus Rock1-3","Rock1-3","SAMN00727650 ","PRJNA29673","GCA_000161155.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/155/GCA_000161155.1_ASM16115v1"
54,"Bacillus cereus Rock1-15","Rock1-15","SAMN00727711 ","PRJNA29675","GCA_000161175.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/175/GCA_000161175.1_ASM16117v1"
55,"Bacillus cereus Rock3-28","Rock3-28","SAMN00727710 ","PRJNA29677","GCA_000161195.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/195/GCA_000161195.1_ASM16119v1"
56,"Bacillus cereus Rock3-29","Rock3-29","SAMN00727649 ","PRJNA29679","GCA_000161215.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/215/GCA_000161215.1_ASM16121v1"
57,"Bacillus cereus Rock3-42","Rock3-42","SAMN00727712 ","PRJNA29681","GCA_000161235.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/235/GCA_000161235.1_ASM16123v1"
58,"Bacillus cereus Rock3-44","Rock3-44","SAMN00727713 ","PRJNA29683","GCA_000161255.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/255/GCA_000161255.1_ASM16125v1"
59,"Bacillus cereus Rock4-2","Rock4-2","SAMN00727714 ","PRJNA29685","GCA_000161275.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/275/GCA_000161275.1_ASM16127v1"
60,"Bacillus cereus Rock4-18","Rock4-18","SAMN00727648 ","PRJNA29687","GCA_000161295.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/295/GCA_000161295.1_ASM16129v1"
61,"Bacillus cereus F65185","F65185","SAMN00727647 ","PRJNA29689","GCA_000161315.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/315/GCA_000161315.1_ASM16131v1"
62,"Bacillus cereus AH603","AH603","SAMN00727680 ","PRJNA29691","GCA_000161335.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/335/GCA_000161335.1_ASM16133v1"
63,"Bacillus cereus AH676","AH676","SAMN00727673 ","PRJNA29693","GCA_000161355.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/355/GCA_000161355.1_ASM16135v1"
64,"Bacillus cereus AH1271","AH1271","SAMN00727675 ","PRJNA29695","GCA_000161375.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/375/GCA_000161375.1_ASM16137v1"
65,"Bacillus cereus AH1272","AH1272","SAMN00727676 ","PRJNA29697","GCA_000161395.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/395/GCA_000161395.1_ASM16139v1"
66,"Bacillus mycoides Rock1-4","Rock1-4","SAMN00727715 ","PRJNA29703","GCA_000161415.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/415/GCA_000161415.1_ASM16141v1"
67,"Bacillus mycoides Rock3-17","Rock3-17","SAMN00727643 ","PRJNA29705","GCA_000161435.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/435/GCA_000161435.1_ASM16143v1"
68,"Bacillus pseudomycoides DSM 12442","DSM 12442","SAMN00727631 ","PRJNA29707","GCA_000161455.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/455/GCA_000161455.1_ASM16145v1"
69,"Bacillus thuringiensis serovar tochigiensis BGSC 4Y1","BGSC 4Y1","SAMN00727630 ","PRJNA29713","GCA_000161475.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/475/GCA_000161475.1_ASM16147v1"
70,"Bacillus thuringiensis Bt407","Bt407","SAMN00727629 ","PRJNA29717","GCA_000161495.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/495/GCA_000161495.1_ASM16149v1"
71,"Bacillus thuringiensis serovar thuringiensis str. T01001","T01001","SAMN00717297 ","PRJNA29719","GCA_000161515.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/515/GCA_000161515.1_ASM16151v1"
72,"Bacillus thuringiensis serovar sotto str. T04001","T04001","SAMN00727716 ","PRJNA29715","GCA_000161535.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/535/GCA_000161535.1_ASM16153v1"
73,"Bacillus thuringiensis serovar pakistani str. T13001","T13001","SAMN00723189 ","PRJNA29721","GCA_000161555.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/555/GCA_000161555.1_ASM16155v1"
74,"Bacillus thuringiensis serovar kurstaki str. T03a001","T03a001","SAMN00717315 ","PRJNA29711","GCA_000161575.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/575/GCA_000161575.1_ASM16157v1"
75,"Bacillus thuringiensis serovar monterrey BGSC 4AJ1","BGSC 4AJ1","SAMN00726690 ","PRJNA29709","GCA_000161595.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/595/GCA_000161595.1_ASM16159v1"
76,"Bacillus thuringiensis serovar berliner ATCC 10792","ATCC 10792","SAMN00738287 ","PRJNA29723","GCA_000161615.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/615/GCA_000161615.1_ASM16161v1"
77,"Bacillus thuringiensis serovar andalousiensis BGSC 4AW1","BGSC 4AW1","SAMN00727678 ","PRJNA29725","GCA_000161635.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/635/GCA_000161635.1_ASM16163v1"
78,"Bacillus thuringiensis serovar pondicheriensis BGSC 4BA1","BGSC 4BA1","SAMN00727679 ","PRJNA29727","GCA_000161655.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/655/GCA_000161655.1_ASM16165v1"
79,"Bacillus thuringiensis serovar huazhongensis BGSC 4BD1","BGSC 4BD1","SAMN00727681 ","PRJNA29729","GCA_000161675.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/675/GCA_000161675.1_ASM16167v1"
80,"Bacillus thuringiensis serovar pulsiensis BGSC 4CC1","BGSC 4CC1","SAMN00727674 ","PRJNA29731","GCA_000161695.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/695/GCA_000161695.1_ASM16169v1"
81,"Bacillus thuringiensis IBL 200","IBL 200","SAMN00727642 ","PRJNA29733","GCA_000161715.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/715/GCA_000161715.1_ASM16171v1"
82,"Bacillus thuringiensis IBL 4222","IBL 4222","SAMN00727641 ","PRJNA29735","GCA_000161735.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/735/GCA_000161735.1_ASM16173v1"
83,"Bacillus atrophaeus 1942","1942","SAMN01816415 ","PRJNA46075","GCA_000165925.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/925/GCA_000165925.1_ASM16592v1"
85,"Bacillus anthracis str. CNEVA-9066","CNEVA-9066","SAMN02435891 ","PRJNA10796","GCA_000167235.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/167/235/GCA_000167235.1_ASM16723v1"
86,"Bacillus anthracis str. A1055","A1055","SAMN02435882 ","PRJNA10795","GCA_000167255.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/167/255/GCA_000167255.1_ASM16725v1"
100,"Bacillus subtilis subsp. spizizenii ATCC 6633","ATCC 6633","SAMN02471820 ","PRJNA43011","GCA_000177595.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/177/595/GCA_000177595.1_ASM17759v1"
103,"Bacillus cereus AH1134","AH1134","SAMN02436322 ","PRJNA17719","GCA_000181615.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/181/615/GCA_000181615.1_ASM18161v1"
112,"Bacillus subtilis gtP20b","gtP20b","SAMN02472163 ","PRJNA53249","GCA_000183765.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/183/765/GCA_000183765.2_ASM18376v2"
113,"Bacillus subtilis subsp. subtilis str. NCIB 3610","NCIB 3610","SAMN02469323 ","PRJNA29891","GCA_000186085.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/186/085/GCA_000186085.1_ASM18608v1"
114,"Bacillus sp. BT1B_CT2","BT1B_CT2","SAMN02463786 ","PRJNA40001","GCA_000186125.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/186/125/GCA_000186125.1_Bacillus_BT1B_CT2_V1"
115,"Bacillus sp. 2_A_57_CT2","2_A_57_CT2","SAMN02463787 ","PRJNA40003","GCA_000186145.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/186/145/GCA_000186145.1_Bacillus_sp_2_A_57_CT2_V1"
116,"Bacillus subtilis BSn5","BSn5","SAMN02603875 ","PRJNA61191","GCA_000186745.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/186/745/GCA_000186745.1_ASM18674v1"
117,"Bacillus thuringiensis serovar finitimus YBT-020","YBT-020","SAMN02603317 ","PRJNA60447","GCA_000190515.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/190/515/GCA_000190515.1_ASM19051v1"
118,"Bacillus thuringiensis serovar chinensis CT-43","CT-43","SAMN02603315 ","PRJNA43737","GCA_000193355.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/193/355/GCA_000193355.1_ASM19335v1"
119,"Bacillus amyloliquefaciens TA208","TA208","SAMN02603399 ","PRJNA64581","GCA_000195515.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/515/GCA_000195515.1_ASM19551v1"
120,"Bacillus amyloliquefaciens DSM 7","DSM 7","SAMEA2272088 ","PRJEA41719","GCA_000196735.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/735/GCA_000196735.1_ASM19673v1"
121,"Bacillus amyloliquefaciens LL3","LL3","SAMN02603189 ","PRJNA64659","GCA_000204275.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/204/275/GCA_000204275.1_ASM20427v1"
122,"Bacillus atrophaeus str. Dugway","Dugway","SAMN01816414 ","PRJNA34819","GCA_000204685.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/204/685/GCA_000204685.2_ASM20468v2"
123,"Bacillus atrophaeus ATCC 9372-1","ATCC 9372-1","SAMN01816423 ","PRJNA37683","GCA_000204705.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/204/705/GCA_000204705.2_ASM20470v2"
124,"Bacillus atrophaeus Detrick-1","Detrick-1","SAMN01816418 ","PRJNA46077","GCA_000204725.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/204/725/GCA_000204725.2_ASM20472v2"
125,"Bacillus atrophaeus Detrick-2","Detrick-2","SAMN01816419 ","PRJNA46079","GCA_000204745.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/204/745/GCA_000204745.2_ASM20474v2"
126,"Bacillus atrophaeus Detrick-3","Detrick-3","SAMN01816422 ","PRJNA46081","GCA_000204765.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/204/765/GCA_000204765.2_ASM20476v2"
127,"Bacillus atrophaeus 1013-1","1013-1","SAMN01816416 ","PRJNA46207","GCA_000204785.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/204/785/GCA_000204785.2_ASM20478v2"
128,"Bacillus atrophaeus 1013-2","1013-2","SAMN01816417 ","PRJNA46209","GCA_000204805.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/204/805/GCA_000204805.2_ASM20480v2"
129,"Bacillus atrophaeus ATCC 9372-2","ATCC 9372-2","SAMN01816424 ","PRJNA46211","GCA_000204825.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/204/825/GCA_000204825.2_ASM20482v2"
130,"Bacillus atrophaeus ATCC 49822-1","ATCC 49822-1","SAMN01816420 ","PRJNA46283","GCA_000204845.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/204/845/GCA_000204845.2_ASM20484v2"
132,"Bacillus atrophaeus BACI051-E","BACI051-E","SAMN01816425 ","PRJNA48615","GCA_000204885.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/204/885/GCA_000204885.2_ASM20488v2"
133,"Bacillus atrophaeus BACI051-N","BACI051-N","SAMN02472056 ","PRJNA51595","GCA_000204905.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/204/905/GCA_000204905.2_ASM20490v2"
134,"Bacillus subtilis subsp. natto BEST195","BEST195","SAMD00016353 ","PRJDA38027","GCA_000209795.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/209/795/GCA_000209795.2_ASM20979v2"
137,"Bacillus amyloliquefaciens XH7","XH7","SAMN02603869 ","PRJNA67079","GCA_000221645.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/221/645/GCA_000221645.1_ASM22164v1"
139,"Bacillus megaterium WSH-002","WSH-002","SAMN02603461 ","PRJNA71447","GCA_000225265.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/225/265/GCA_000225265.1_ASM22526v1"
140,"Bacillus pumilus S-1","S-1","SAMN02470966 ","PRJNA72175","GCA_000225935.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/225/935/GCA_000225935.1_ASM22593v1"
141,"Bacillus subtilis subsp. spizizenii TU-B-10","TU-B-10","SAMN02603352 ","PRJNA68561","GCA_000227465.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/227/465/GCA_000227465.1_ASM22746v1"
142,"Bacillus subtilis subsp. subtilis str. RO-NN-1","RO-NN-1","SAMN02603351 ","PRJNA68559","GCA_000227485.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/227/485/GCA_000227485.1_ASM22748v1"
143,"Bacillus subtilis subsp. subtilis str. SC-8","SC-8","SAMN02469591 ","PRJNA73499","GCA_000230755.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/230/755/GCA_000230755.2_ASM23075v2"
144,"Bacillus sp. 7_6_55CFAA_CT2","7_6_55CFAA_CT2","SAMN02463788 ","PRJNA40005","GCA_000238655.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/238/655/GCA_000238655.1_Bacillus_sp_7_6_55CFAA_CT2_V1"
146,"Bacillus cereus F837/76","F837/76","SAMN02603249 ","PRJNA15716","GCA_000239195.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/239/195/GCA_000239195.1_ASM23919v1"
147,"Bacillus amyloliquefaciens IT-45","IT-45","SAMN02603349 ","PRJNA73591","GCA_000242855.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/242/855/GCA_000242855.2_ASM24285v2"
148,"Bacillus sp. 1NLA3E","1NLA3E","SAMN02598535 ","PRJNA53255","GCA_000242895.3 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/242/895/GCA_000242895.3_ASM24289v3"
150,"Bacillus subtilis subsp. subtilis str. AUSI98","AUSI98","SAMN00000705 ","PRJNA32097","GCA_000245295.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/245/295/GCA_000245295.1_ASM24529v1"
